728175	4804	130	39	0	3	24	2.13631	0.00890385	0.003	2.50064	0.0458062	0.015	5000	172	42	3	425	1375	13	4	2	2	2	0	2	2	0	0.0005	0.0025	0	0	0	2	2	0	0	0	0	0	74	2	0	0	0	0	5.38465	15.7533	
728176	4795	131	45	0	3	26	2.40353	0.00901793	0.003	2.81727	0.0479226	0.015	5000	179	48	3	427	1377	20	10	2	2	2	0	2	2	0	0.0005	0.0025	0	0	0	2	2	0	0	0	0	0	73	1	0	0	1	0	5.38897	15.7577	
728177	4792	135	44	0	3	26	2.6957	0.00920899	0.003	3.16266	0.0511355	0.015	5000	182	47	3	426	1380	15	5	2	2	2	0	2	2	0	0.0005	0.0025	0	0	0	2	2	0	0	0	0	0	73	2	0	0	0	0	5.39249	15.7612	
728178	4791	132	45	0	4	28	2.96354	0.0101274	0.003	3.47944	0.0548152	0.015	5000	181	49	4	425	1376	10	7	3	3	3	0	3	3	0	0.0005	0.0025	0	0	0	3	3	0	0	0	0	0	73	1	0	0	2	0	5.39458	15.7633	
728179	4791	134	41	1	3	30	3.20069	0.0110124	0.003	3.75779	0.0602809	0.015	5000	179	45	4	424	1380	8	2	2	1	1	0	1	1	0	0.0005	0.0025	0	0	0	1	1	0	0	0	0	0	73	1	0	0	0	0	5.3963	15.7651	
728180	4783	140	42	1	1	33	3.4087	0.0115697	0.003	4.00134	0.0654174	0.015	5000	184	44	2	424	1377	17	5	1	1	1	0	1	1	0	0.0005	0.0025	0	0	0	1	1	0	0	0	0	0	73	0	0	1	0	0	5.39879	15.7667	
728181	4776	152	37	1	1	33	3.58982	0.0120698	0.003	4.21447	0.0688493	0.015	5000	191	39	2	427	1381	20	4	2	1	1	0	1	1	0	0.0005	0.0025	0	0	0	1	1	0	0	0	0	0	73	1	0	0	0	0	5.40151	15.7695	
728182	4781	148	37	1	0	33	3.7466	0.012591	0.003	4.39875	0.0721235	0.015	5000	186	38	1	427	1379	9	4	0	0	0	0	0	0	0	0.0005	0.0025	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	5.40187	15.7695	
728183	4776	152	38	1	2	31	3.88115	0.0135362	0.003	4.5564	0.0760364	0.015	5000	193	41	3	426	1376	17	7	2	2	2	0	2	2	0	0.0005	0.0025	0	0	0	2	2	0	0	0	0	0	73	1	0	1	0	0	5.40379	15.7717	
728184	4767	158	43	1	1	30	3.99638	0.0143947	0.003	4.68975	0.0811097	0.015	5000	203	45	2	425	1377	23	7	1	1	1	0	1	1	0	0.0005	0.0025	0	0	0	1	1	0	0	0	0	0	72	1	0	0	0	0	5.40542	15.7739	
