"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D"
7886,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.409447349010354,0.286267889001909,0.540343103982621,0.674719766571773,0.665967954591874,0.796729002371943,0.816638747374215,0.910509569487079,0.366638129102845,0.554717292612464,0.538923076923077,0.550930409386173,0.627607977991747,0.710815789473684,0.759523571168548,0.782105867346939,0.8002,0.739350912778905,0.802228412256267,0.785714285714286
7887,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.37339286566994,0.199779819115932,0.555159067815261,0.623892791132258,0.715279879700571,0.746370131312186,0.796292760085406,0.904430394167347,0.354086787170592,0.569548047389206,0.64,0.535575024054287,0.660475482912333,0.724137931034483,0.753853339560953,0.820580474934037,1,0.736097067745197,0.801749271137026,1
7888,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.181482620176245,0.194690595701034,0.384984408224129,0.658667604032439,0.597468340585572,0.709954687949141,0.778726024212056,0.907729108087831,0.364222838538527,0.456956344349245,0.473684210526316,0.546007377130894,0.572702331961591,0.625,0.75350063647936,0.775923718712753,0.866666666666667,0.737688442211055,0.760869565217391,0.833333333333333
7889,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.43942901796448,0.293421940179737,0.605024871902711,0.650841439387828,0.737335027948379,0.765782910930373,0.790511992165081,0.913225996334126,0.371335018441541,0.522366544770112,0.639639278557114,0.555338671933316,0.622551265552975,0.843593436873747,0.77176861938554,0.797908686321876,0.833166332665331,0.756294058408862,0.774104683195592,0.833333333333333
789,100,0,0.0333333333333333,90,1,0,0.75,0.25,28,1,0,0.561426421403517,0.341223882613572,0.572336030997639,0.657947494308228,0.77971046720099,0.757032834370792,0.837276293335464,0.889383475386417,0.620365100906186,0.79871618523613,0.872340425531915,0.727674672489083,0.822261072261072,0.923076923076923,0.77109345440787,0.860062893081761,0.9,0.751357220412595,0.824324324324324,0.884615384615385
7890,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.441560667600808,0.208410856555915,0.586337928889472,0.629986976877291,0.719824319080713,0.735675232966763,0.800169099281172,0.913709087504569,0.357008879849945,0.545550458357104,0.724428594585832,0.544365856449647,0.638606200790914,0.819610874887257,0.767330048688005,0.799920199385882,0.899497487437186,0.754793138244198,0.78740157480315,0.875
7891,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.358157304442557,0.252253428967557,0.628507107425115,0.657060904870418,0.587975959758914,0.716776940318651,0.766271494677871,0.89747414354705,0.35973275464595,0.554610344284074,0.635999271269812,0.546468065716267,0.664709967046555,0.799799599198397,0.752479504463472,0.804243794142196,0.833166332665331,0.727732793522267,0.776280323450135,0.818181818181818
7892,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.164041040214427,0.221952587041857,0.466116862593675,0.619154503111394,0.548430503690494,0.703306686473414,0.804532820157424,0.901049106103148,0.367648585440455,0.520167941220573,0.64877157859614,0.542329493344189,0.645068797611171,0.594188783377973,0.748653363111194,0.812897009158691,0.823352764529235,0.739656912209889,0.812169312169312,0.823529411764706
7893,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.342789723503752,0.249224505704268,0.553188847169653,0.595062152909734,0.681594888188865,0.684111544845761,0.82785831245793,0.91409437089131,0.363220149141984,0.52860691318328,0.6448,0.5546996922466,0.63525354969574,0.7336,0.775710929794674,0.808652173913043,0.882470588235294,0.758064516129032,0.823056300268097,0.866666666666667
7894,100,0,0.0111111111111111,180,1,0,0.75,0.25,28,1,0,0.370524354848529,0.271068805883783,0.5611063647172,0.652749826678071,0.63603310500367,0.726174184585842,0.815884823889324,0.913419745348749,0.364225732809789,0.538250596658711,0.532382978723404,0.548574709755239,0.651132506527415,0.645516129032258,0.765689257257991,0.815127586206897,0.764941176470588,0.752763819095477,0.816272965879265,0.75
