"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D"
1868,10,1,0.01538462,180,1,0,0.75,0.25,28,1,0,0.572145460270831,0.581842790425984,0.648668272537796,0.705458605722921,0.744337716736585,0.769943286851126,0.767108545747337,0.869708544685496,0.546519438536793,0.614508559201141,0.875125,0.640172506738544,0.683283618581907,0.889,0.721127208480565,0.740717557251908,0.877673469387755,0.729323308270677,0.745054945054945,0.846153846153846
1869,10,1,0.01538462,180,1,0,0.75,0.25,28,1,0,0.573798450168878,0.630727933803318,0.636497985193646,0.738147171806522,0.701596830279115,0.801506341776771,0.798957519016337,0.888542705716092,0.595607302601552,0.657969035890218,0.6008,0.684249182403207,0.731695415695416,0.689511111111111,0.76258530416087,0.790641777777778,0.72555,0.752665245202559,0.760245901639344,0.705882352941176
187,0.1,0,0.01538462,180,1,0,0.75,0.25,28,1,0,0.804848076151289,0.832427263155184,0.812225574775822,0.836328150465705,0.813716583015104,0.837767675824929,0.83295322721943,0.844947530406339,0.75,0.749697702539299,0.761737089201878,0.751061571125265,0.750455373406193,0.762971698113208,0.756396588486141,0.754878048780488,0.767772511848341,0.757333333333333,0.751763046544429,0.75152749490835
1870,10,1,0.01538462,180,1,0,0.75,0.25,28,1,0,0.579291826993466,0.595742913853659,0.650404820210068,0.720254388505415,0.69323882053483,0.792277275007766,0.786398434328598,0.878299596981827,0.569495794554216,0.669045739506444,0.618666285332952,0.657590632845364,0.703520314207337,0.672085878982431,0.74962586348725,0.758623872099049,0.659233701786893,0.746478873239437,0.753535353535354,0.69047619047619
1871,10,1,0.01538462,180,1,0,0.75,0.25,28,1,0,0.650457334451241,0.611114386049187,0.687092742421526,0.732838982796715,0.751423460656357,0.807716168800811,0.7836964316654,0.885108444499128,0.586216126205083,0.683034960422164,0.689965517241379,0.676376052104208,0.730120895522388,0.732410714285714,0.763404113660682,0.76717520661157,0.76024,0.746014877789586,0.741176470588235,0.760869565217391
1872,10,1,0.01538462,180,1,0,0.75,0.25,28,1,0,0.628987373229157,0.64620069743497,0.669190688678165,0.751525944086998,0.730586874006377,0.816295038977684,0.789539326646944,0.88243546680906,0.608195482408263,0.694232105628909,0.622641509433962,0.699106449106449,0.721286370597244,0.686274509803922,0.776304985337243,0.759504862953139,0.673469387755102,0.741214057507987,0.753112033195021,0.767441860465116
