"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_recurrent_D","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_D_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_cph_relapse_D_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_incid_trial_PCR","eff_incid_trial_LM","eff_incid_trial_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D","eff_risk_trial_PCR","eff_risk_trial_LM","eff_risk_trial_D"
538,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.761031255593773,0.806039346526115,0.754967866461413,0.76618272167122,0.809912242525066,0.769712461817668,0.817286166980792,0.762778166224096,0.829993437076198,0.840789922593856,0.188828961619191,0.702094617949758,0.685113190734189,0.662778286266274,0.71211019600176,0.692244450709184,0.667672694787165,0.724803226600105,0.70708759125043,0.694996704819034,0.724270717166551,0.702171008684035,0.695280972904714,0.750977835723598,0.749648382559775,0.737527114967462,0.716788321167883,0.707910750507099,0.714622641509434
539,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.803355327682684,0.824401456793008,0.804052262601081,0.808527038403646,0.824913468435339,0.81357028110161,0.832541276639452,0.811431528617633,0.832396661315657,0.838711914813586,-0.623961669920665,0.739556256867866,0.737890989409823,0.756610006907981,0.747289969742117,0.7469794517765,0.762066988957745,0.769162302143833,0.769819945258542,0.792519792519793,0.770518818137866,0.784053716637986,0.80060814515727,0.758344459279039,0.76163610719323,0.784394250513347,0.753284671532847,0.767924528301887,0.785557986870897
54,0.1,0,0.01538462,180,1,0,0.75,0.25,28,1,0,0.825672139659015,0.830357088022348,0.821516194684079,0.82415079117472,0.829116715874412,0.823230821993826,0.82825899418383,0.818871804265044,0.832460828886566,0.834450775890249,-0.235145174025515,0.729298920421488,0.736643342137139,0.764746885074497,0.730437128980032,0.737523284044899,0.765722935232167,0.745012469503637,0.750525229007302,0.781772074955598,0.765197060788243,0.793235651631131,0.799799599198397,0.75668449197861,0.761838440111421,0.771825396825397,0.755043227665706,0.781308411214953,0.786163522012579
540,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.815073900774906,0.838957828079449,0.797979979049046,0.821694803936975,0.840951098389008,0.826767965186555,0.845228104562097,0.81585544596633,0.840092341073362,0.849478568152626,0.0505881699771896,0.727735368956743,0.736318407960199,0.755441741357234,0.736733642452344,0.744171392564587,0.768637532133676,0.745940282870613,0.755285073670724,0.782664941785252,0.77439446366782,0.775175644028103,0.777298850574713,0.780160857908847,0.779369627507163,0.77728285077951,0.762463343108504,0.771543086172345,0.765402843601896
541,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.785798652396728,0.815770756083647,0.786781148201386,0.803597295998153,0.824142706950902,0.809131341093957,0.831061312424189,0.803334245438965,0.834135786285607,0.837173680791045,0.501844859895125,0.665586169638034,0.676853055916775,0.702523240371846,0.677613574165298,0.687088274044796,0.710843373493976,0.699168975069252,0.706470980653769,0.728010825439783,0.724647887323944,0.722222222222222,0.731707317073171,0.749665327978581,0.759018759018759,0.757174392935982,0.729569093610698,0.731808731808732,0.743961352657005
542,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.74667108964865,0.791193869318768,0.763008057250536,0.747876633462138,0.796354548061648,0.754737323863069,0.802143580109598,0.764384492806589,0.804677531480998,0.818594221202748,-0.882823526995444,0.692167577413479,0.690245293782088,0.715123094958968,0.704081632653061,0.699884125144844,0.715466351829988,0.732984293193717,0.730337078651685,0.752983293556086,0.719745222929936,0.714754098360656,0.729693741677763,0.728835978835979,0.723404255319149,0.741525423728814,0.702312138728324,0.692607003891051,0.727678571428571
543,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.799324909067791,0.819407408957563,0.797314059833945,0.804139756035418,0.825531065901622,0.81189986754618,0.837632834988012,0.808356837836226,0.833936561466181,0.848788035628896,0.524282348067757,0.711111111111111,0.714792899408284,0.747674418604651,0.726161369193154,0.725642558278542,0.752913752913753,0.75186846038864,0.74802671523983,0.776470588235294,0.755974842767296,0.764957264957265,0.77154046997389,0.754914809960681,0.75,0.764331210191083,0.721194879089616,0.739047619047619,0.751111111111111
544,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.777099413387091,0.808529608772351,0.767048362993663,0.781909601244317,0.811899837237263,0.786230926551621,0.81727064011579,0.771427705819244,0.829559548700871,0.829238904710073,0.320605259367112,0.704663356504469,0.720102533172497,0.718512820512821,0.709690991444389,0.724500914076782,0.718890528905289,0.731386108273749,0.750653538461538,0.744928039702233,0.73473489010989,0.735721254355401,0.737731673582296,0.733860342555995,0.745428973277074,0.726315789473684,0.718023255813953,0.717092337917485,0.721719457013575
545,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.78881134817813,0.814091962771136,0.771553677803229,0.794134196323923,0.815672667712401,0.803059562396279,0.821787430870942,0.784356538200365,0.816688019248818,0.831672818321831,-0.732753118479609,0.707584830339321,0.709538461538461,0.733160621761658,0.716818642350557,0.716687422166874,0.739921976592978,0.738193018480493,0.738364779874214,0.77154046997389,0.752374491180461,0.772511848341232,0.770710059171598,0.745762711864407,0.742253521126761,0.767094017094017,0.733618233618234,0.751456310679612,0.750577367205543
546,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.782758107978177,0.810305412955236,0.763389814270658,0.784848297517741,0.80837521747078,0.785571328338636,0.809510435844444,0.770415737375874,0.808521743959534,0.816865303618847,-0.0510790668192183,0.717317896767969,0.720404521118382,0.718946047678795,0.72290338401177,0.724200362100181,0.719898605830165,0.727134916624558,0.7291280148423,0.730423620025674,0.744262295081967,0.756395995550612,0.756983240223464,0.729986431478969,0.73342939481268,0.72707423580786,0.729651162790698,0.740458015267176,0.738927738927739
547,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.809455175261149,0.836095718707133,0.809042397951362,0.811698923146663,0.838672000709092,0.820053444384542,0.847185411701286,0.816740327540754,0.851506022672086,0.857551822181839,-0.0998939941539299,0.722129048843188,0.727545454545455,0.740437262357414,0.730758584807492,0.730842675159236,0.743878826530612,0.763297625329815,0.760884516129032,0.78427763496144,0.76898554714384,0.769278571428571,0.783573888091822,0.772787318361955,0.777464788732394,0.776595744680851,0.754772393538913,0.758893280632411,0.768878718535469
548,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.786603094670038,0.807035721691677,0.790523888346925,0.792790062129293,0.814006216690441,0.801489489775848,0.820287568479843,0.799031250839513,0.827425235293137,0.836962895073881,-0.646074468010405,0.692745856639787,0.700470796848574,0.724838277591452,0.706202528513818,0.710702475697092,0.729928607214429,0.735816170155437,0.73617793303858,0.760046408606687,0.742162148564912,0.753164866318002,0.771138176792824,0.764468371467026,0.765042979942693,0.772321428571429,0.731054977711739,0.75,0.768496420047733
549,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.795813667880457,0.8072752465297,0.794955011018606,0.801410434773985,0.813241088953498,0.803083099548066,0.818392621636639,0.803926410631442,0.820169971515936,0.829089027873322,-0.000353372070239111,0.694122171945701,0.693558282208589,0.720608695652174,0.703755340793489,0.702465015479876,0.727010600706714,0.732216103896104,0.73351580278129,0.762142857142857,0.729211277173913,0.758556541019956,0.757654986522911,0.743009320905459,0.746781115879828,0.767820773930754,0.726735598227474,0.748571428571429,0.758695652173913
55,0.1,0,0.01538462,180,1,0,0.75,0.25,28,1,0,0.824445185656226,0.833795463784024,0.834046241966776,0.826905415109272,0.835225611404248,0.824956182496164,0.835537487829734,0.834980695677815,0.823757255237987,0.829398564354806,0.668041343312669,0.693468731735827,0.700845156889495,0.734166464155529,0.69491266119578,0.701188911704312,0.735307692307692,0.712382300884956,0.719591034482759,0.760681818181818,0.755304256803908,0.774457446808511,0.787592592592593,0.740384615384615,0.741279069767442,0.784313725490196,0.753323485967504,0.769230769230769,0.78705636743215
550,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.778039977997603,0.815012357611687,0.77828488918049,0.776433507581172,0.813995976202362,0.778729265525647,0.817346220367311,0.781156462011565,0.824869977553344,0.82795469589367,-0.667211626396466,0.710987443495731,0.722534407935524,0.711628865979381,0.720362095531587,0.726516677155444,0.714757496740548,0.735866492146597,0.741659872611465,0.732901703800786,0.747299513551077,0.738500603136309,0.741814977973568,0.749667110519308,0.759312320916905,0.759299781181619,0.74112426035503,0.739393939393939,0.756440281030445
