"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D"
11916,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.577157858001499,0.595906613199822,0.579010208144823,0.711595634671063,0.637492264295961,0.810192154724686,0.807464742189143,0.909976326510957,0.610623981670061,0.724701461377871,0.727545454545454,0.696282258657452,0.760175182481752,0.7003,0.788339243186028,0.814072324011572,0.667,0.758375634517766,0.7981220657277,0.666666666666667
11917,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.421379169836562,0.560729542024947,0.402611117684149,0.720629639825658,0.504819071300473,0.790926410368203,0.76054423443759,0.89804703522603,0.602039063081828,0.676368610724962,0.8335001668335,0.683615179846714,0.705066895921767,0.809714476381143,0.755029174454222,0.771657371657372,0.889000111222333,0.737003058103975,0.7734375,0.882352941176471
11918,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.474586219987507,0.587420217763618,0.507313238408797,0.723654190970053,0.618590636471572,0.820185345295157,0.797019795527145,0.909289051093312,0.602524306667521,0.666507031828275,0.0565000000000001,0.687734286345885,0.71005051369863,0.0723571428571429,0.772773696787326,0.777440524193548,0.154692307692308,0.75,0.785888077858881,0.384615384615385
11919,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.507601053052924,0.575370799707734,0.577500886987509,0.730326195520146,0.687059939696387,0.823884763596989,0.823233266831902,0.911394583814602,0.595709218067798,0.717172719572144,0.817634722348865,0.679947522366048,0.768284445172251,0.832831828819793,0.775166315993234,0.827501829158975,0.791039786024741,0.748991935483871,0.816470588235294,0.791666666666667
1192,1,0,0.01538462,180,1,0,0.75,0.25,28,0,0,0.626286656336309,0.696322845284777,0.710130970265149,0.772844348429539,0.735184524617873,0.79649823196691,0.801118468051623,0.844557789279108,0.641912148070907,0.638119789171059,0.620817518248175,0.688188306104901,0.681316878980892,0.672459016393443,0.721772608125819,0.705423076923077,0.676514285714286,0.737217598097503,0.727138643067847,0.684782608695652
11920,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.458711202383036,0.578394667806364,0.530284681613666,0.72348271798997,0.541333960524455,0.813721396829464,0.780271341430109,0.910858798566771,0.596985748518098,0.67457886676876,0.736842105263158,0.680826386371874,0.72113676731794,0.714285714285714,0.759476893169568,0.763157894736842,0.727272727272727,0.754773869346734,0.769620253164557,0.727272727272727
11921,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.508021751957031,0.602124078490873,0.660124763465104,0.744541006856752,0.708050281770739,0.822451193199451,0.793731138727219,0.912301922527108,0.620013729101851,0.707365801940272,0.76142761713904,0.700498479205021,0.766463445801013,0.894525893893049,0.785522797363545,0.821794814335807,0.944333110665776,0.751008064516129,0.782608695652174,0.944444444444444
11922,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.556292633076883,0.60369464508503,0.634919222127899,0.713933328911101,0.721264523914197,0.784792589565207,0.774207706570013,0.896060906742491,0.595074038645494,0.66205703125,0.643214285714286,0.668574700753657,0.692615384615385,0.64036,0.739542915958113,0.735270447110142,0.727545454545454,0.725330620549339,0.760416666666667,0.714285714285714
11923,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.597557382503082,0.580575675225531,0.657851267486032,0.695724813992354,0.703221556478662,0.791129832724517,0.781808499648177,0.908697359740316,0.599600706643172,0.6605436523967,0.749247743229689,0.680913661943044,0.706029725221158,0.768536378365867,0.762270675884456,0.766766409761087,0.808950661508335,0.745694022289767,0.761194029850746,0.8
11924,10,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.490550821087853,0.606486307996274,0.56684384985882,0.718630768807225,0.658995218931237,0.796960531353433,0.796648715831476,0.911108765351262,0.607267801657172,0.684405073020753,0.692615384615385,0.688201124859393,0.735978571428571,0.826260869565217,0.765320338058888,0.78292,0.909181818181818,0.754048582995951,0.776623376623377,0.909090909090909
