"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D"
10605,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.730694449576121,0.790039010281252,0.742637576496019,0.799748884384504,0.743370297937362,0.806211741348596,0.809679342813416,0.855486028923112,0.707745935032661,0.697371790395046,0.669160686109839,0.719920673496583,0.708347534434491,0.663456560008284,0.728262801213092,0.719812727942809,0.68109702622977,0.742352941176471,0.726618705035971,0.714285714285714
10606,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.653986360816764,0.751905248072001,0.686837062269733,0.774725544224043,0.698046034311668,0.787604401904512,0.792854556639434,0.830842414655511,0.706315716577219,0.712921563538848,0.704296889482075,0.721952487355331,0.725234728399285,0.698717585510038,0.731522520426917,0.732307828661995,0.695848229181562,0.737827715355805,0.732612055641422,0.680412371134021
10607,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.748270016986179,0.811205334119639,0.754400121099592,0.824861992534117,0.766679947784303,0.831882670522188,0.852211211495525,0.875333917659495,0.7536667752443,0.766490333919156,0.781731092436975,0.761065289806795,0.773416517055655,0.801922413793103,0.766842685025818,0.782745353159851,0.8002,0.783233532934132,0.788712011577424,0.78494623655914
10608,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.743563266097549,0.770474106555976,0.759319639319334,0.788298017642047,0.762106666267045,0.793149246555459,0.818428790480633,0.850115560527138,0.707934623219739,0.688238462396949,0.70101493309199,0.71585447317399,0.696098225039264,0.710164129912718,0.721423442401699,0.702991129506131,0.725947621739205,0.739952718676123,0.748529411764706,0.737864077669903
10609,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.724635043581583,0.771947389479429,0.743873300063517,0.79171137027288,0.752097462852716,0.802968997621928,0.815627264316277,0.863116371051103,0.732734592753174,0.730075625363583,0.725663716814159,0.748425692695214,0.744516893894487,0.747747747747748,0.762273901808786,0.752136752136752,0.766355140186916,0.757647058823529,0.745937961595273,0.762886597938144
1061,1,0,0.01538462,180,1,0,0.75,0.25,28,0,0,0.634891734980735,0.69282572492872,0.681489839044055,0.753501656091738,0.745203544779304,0.793552340144021,0.818750967284267,0.855405573537865,0.641833424783941,0.62188527999395,0.614093050966798,0.691256772144526,0.664110584085072,0.660860181902266,0.740332294662512,0.711995057708595,0.737179276585959,0.746462264150943,0.751079136690648,0.757009345794392
10610,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.742423985328824,0.780950250884612,0.740326786344877,0.794766286387505,0.747716217163491,0.796963077765815,0.806539065102371,0.847429254247742,0.71612113796268,0.719354838709677,0.770491803278688,0.724451410658307,0.725371491469455,0.771186440677966,0.729563812600969,0.728310502283105,0.767857142857143,0.740740740740741,0.731494920174165,0.755102040816326
10611,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.734059214151952,0.762438932691281,0.753949597758379,0.783898371831194,0.761414442539199,0.790397227587886,0.802112197060043,0.845941391329743,0.707792046602922,0.691393835630065,0.585780902854074,0.719867069015487,0.700704753336332,0.58375041708375,0.725874923879289,0.702501787075938,0.602093619042771,0.727272727272727,0.723122238586156,0.697247706422018
10612,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.695859382093917,0.759121399225706,0.727361457829025,0.783813723161216,0.742784144424544,0.794651574546629,0.825169534858618,0.854844621894003,0.713452088452089,0.709276018099547,0.6796875,0.728329145728643,0.725490196078431,0.700787401574803,0.740306288693385,0.73759713090257,0.716666666666667,0.746107784431138,0.745689655172414,0.699029126213592
10613,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.712220125474527,0.787962879108883,0.72508259319064,0.802547803413536,0.724525290176701,0.797650017026713,0.836400049438646,0.870416366755626,0.759482464454976,0.766452367036821,0.768826446280992,0.765944892039961,0.771112171837709,0.764941176470588,0.771165839126117,0.771692402717727,0.75246017699115,0.762295081967213,0.763848396501458,0.742268041237113
10614,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.661412564867024,0.755235576711177,0.688100891923464,0.774215614393774,0.689593013023273,0.779048677597274,0.791065111981179,0.827015767231307,0.693564634815826,0.686039250259434,0.764470352705647,0.702203014966899,0.695347521434478,0.798305768455022,0.70655129252792,0.700306366973034,0.80896927461813,0.721212121212121,0.717455621301775,0.789473684210526
10615,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.741307599512444,0.797260941645359,0.757834286479451,0.814777774072474,0.763112058586267,0.819409786191476,0.824209639479616,0.87073483534466,0.760946927374302,0.751724321133412,0.782036363636364,0.771963958267468,0.760768953068592,0.789201834862385,0.776667423750811,0.763491985203453,0.792660377358491,0.772889417360285,0.757847533632287,0.775280898876405
10616,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.652951476923544,0.742333096783627,0.669812836862326,0.761337185033216,0.67674580576548,0.766495895399914,0.80718681648672,0.837946606019004,0.69027469027469,0.661897547093922,0.619088114663336,0.704828795737887,0.6767792961777,0.630260891522153,0.711426196994958,0.679857184607026,0.663299663299663,0.732445520581114,0.734604105571848,0.640776699029126
10617,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.728689186220018,0.776454656794807,0.747279984285528,0.796707908869448,0.748367951661071,0.796436721232067,0.813425114523333,0.85067303938171,0.704269242754752,0.700755374782103,0.746031746031746,0.719387755102041,0.713265913146936,0.758333333333333,0.722425858047318,0.715351149782474,0.763157894736842,0.744655581947743,0.743401759530792,0.715789473684211
10618,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.75671357771079,0.829725349271443,0.765345469063507,0.844391184331013,0.774465197186485,0.847702096874422,0.841841706891125,0.871284717218999,0.750212319528401,0.766469645987718,0.747839442495931,0.762895956667583,0.776372116797649,0.759449371852473,0.772323870262015,0.78688734396497,0.779306865921039,0.770760233918129,0.777460770328103,0.790909090909091
10619,1,0,0.01538462,180,1,0,0.75,0.25,28,1,1,0.758411385980274,0.790750548920756,0.775809055273196,0.802922368875144,0.7859010977928,0.806899878132374,0.832139990556838,0.855441252033227,0.723932183224271,0.726711751662971,0.654897196261682,0.736268810679612,0.738377401129944,0.68380198019802,0.743246639574867,0.746576587070472,0.688125,0.737647058823529,0.750712250712251,0.678571428571429
1062,1,0,0.01538462,180,1,0,0.75,0.25,28,0,0,0.689852855912237,0.713038050617787,0.727032833989523,0.768360848443025,0.765419210472364,0.80623172802732,0.839876471420228,0.863904957261874,0.66507684154743,0.675180722891566,0.680555555555556,0.71461716937355,0.722075172048703,0.714285714285714,0.761612903225806,0.765615704937537,0.765217391304348,0.774785801713586,0.7856093979442,0.759615384615385
